t	u	v	w	p	q	r	phi	psi	theta	h
3.8000000000000017e-01	7.4838004364393058e+01	0.0000000000000000e+00	9.4191150543602231e-01	0.0000000000000000e+00	-3.3330105710797019e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2497092305606486e-02	2.9999990705049327e+03
3.9000000000000018e-01	7.4833937133563651e+01	0.0000000000000000e+00	9.4191844206835318e-01	0.0000000000000000e+00	-3.4641155841819577e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2493759295035406e-02	2.9999990044564383e+03
4.0000000000000019e-01	7.4829872100071441e+01	0.0000000000000000e+00	9.4192367223011264e-01	0.0000000000000000e+00	-3.5944294811837414e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2490295179451223e-02	2.9999989353358901e+03
4.1000000000000020e-01	7.4825809271867755e+01	0.0000000000000000e+00	9.4192733104835569e-01	0.0000000000000000e+00	-3.7238435190667190e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2486700749970039e-02	2.9999988630627836e+03
4.2000000000000021e-01	7.4821748656971977e+01	0.0000000000000000e+00	9.4192955518811239e-01	0.0000000000000000e+00	-3.8522646411743786e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2482976906450973e-02	2.9999987875558718e+03
4.3000000000000022e-01	7.4817690263478539e+01	0.0000000000000000e+00	9.4193048162960180e-01	0.0000000000000000e+00	-3.9796149374049348e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2479124641809799e-02	2.9999987087332311e+03
4.4000000000000022e-01	7.4813634099562705e+01	0.0000000000000000e+00	9.4193024654315383e-01	0.0000000000000000e+00	-4.1058310270515515e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2475145026872395e-02	2.9999986265123275e+03
4.5000000000000023e-01	7.4809580173485074e+01	0.0000000000000000e+00	9.4192898426285854e-01	0.0000000000000000e+00	-4.2308633755952968e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2471039195845343e-02	2.9999985408100838e+03
4.6000000000000024e-01	7.4805528493595006e+01	0.0000000000000000e+00	9.4192682635908276e-01	0.0000000000000000e+00	-4.3546755563594571e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2466808332469747e-02	2.9999984515429433e+03
4.7000000000000025e-01	7.4801479068333009e+01	0.0000000000000000e+00	9.4192390080918764e-01	0.0000000000000000e+00	-4.4772434674796052e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2462453656913388e-02	2.9999983586269359e+03
4.8000000000000026e-01	7.4797431906232049e+01	0.0000000000000000e+00	9.4192033126504882e-01	0.0000000000000000e+00	-4.5985545141440407e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2457976413445909e-02	2.9999982619777411e+03
4.9000000000000027e-01	7.4793387015917972e+01	0.0000000000000000e+00	9.4191623641531530e-01	0.0000000000000000e+00	-4.7186067655205716e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2453377858931764e-02	2.9999981615107477e+03
5.0000000000000022e-01	7.4789344406109038e+01	0.0000000000000000e+00	9.4191172943975388e-01	0.0000000000000000e+00	-4.8374080952146400e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2448659252166244e-02	2.9999980571411133e+03
5.1000000000000023e-01	7.4785304085614740e+01	0.0000000000000000e+00	9.4190691755250311e-01	0.0000000000000000e+00	-4.9549753135101648e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2443821844071029e-02	2.9999979487838223e+03
5.2000000000000024e-01	7.4781266063333817e+01	0.0000000000000000e+00	9.4190190163060794e-01	0.0000000000000000e+00	-5.0713332990322897e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2438866868757519e-02	2.9999978363537361e+03
5.3000000000000025e-01	7.4777230348251706e+01	0.0000000000000000e+00	9.4189677592381982e-01	0.0000000000000000e+00	-5.1865141368478539e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2433795535458486e-02	2.9999977197656472e+03
5.4000000000000026e-01	7.4773196949437420e+01	0.0000000000000000e+00	9.4189162784132363e-01	0.0000000000000000e+00	-5.3005562693926546e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2428609021321637e-02	2.9999975989343234e+03
5.5000000000000027e-01	7.4769165876039864e+01	0.0000000000000000e+00	9.4188653781079246e-01	0.0000000000000000e+00	-5.4135036659849897e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2423308465052244e-02	2.9999974737745547e+03
5.6000000000000028e-01	7.4765137137283844e+01	0.0000000000000000e+00	9.4188157920496729e-01	0.0000000000000000e+00	-5.5254050160646407e-04	0.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.2417894961386259e-02	2.9999973442011928e+03
